epoch,accuracy,auc,false_negatives_1,false_positives_1,loss,lr,precision,recall,true_negatives_1,true_positives_1,val_accuracy,val_auc,val_false_negatives_1,val_false_positives_1,val_loss,val_precision,val_recall,val_true_negatives_1,val_true_positives_1
21,0.5022500157356262,0.5053893327713013,1991.0,1991.0,0.6932205557823181,9.999999e-05,0.5022500157356262,0.5022500157356262,2009.0,2009.0,0.5,0.5,1000.0,1000.0,1.1318042278289795,0.5,0.5,1000.0,1000.0
22,0.4932500123977661,0.4853898584842682,2027.0,2027.0,0.6937077641487122,9.999999e-05,0.4932500123977661,0.4932500123977661,1973.0,1973.0,0.5,0.5,1000.0,1000.0,1.905415415763855,0.5,0.5,1000.0,1000.0
23,0.4987500011920929,0.4963415861129761,2005.0,2005.0,0.6933934092521667,9.999999e-05,0.4987500011920929,0.4987500011920929,1995.0,1995.0,0.5,0.5,1000.0,1000.0,1.9062973260879517,0.5,0.5,1000.0,1000.0
24,0.48399999737739563,0.4799880087375641,2064.0,2064.0,0.693812370300293,9.999999e-05,0.48399999737739563,0.48399999737739563,1936.0,1936.0,0.5,0.5,1000.0,1000.0,1.0322014093399048,0.5,0.5,1000.0,1000.0
25,0.5019999742507935,0.49847158789634705,1992.0,1992.0,0.6933703422546387,9.999999e-06,0.5019999742507935,0.5019999742507935,2008.0,2008.0,0.5,0.5,1000.0,1000.0,0.7457164525985718,0.5,0.5,1000.0,1000.0
26,0.5092499852180481,0.49764886498451233,1963.0,1963.0,0.6932424902915955,9.999999e-06,0.5092499852180481,0.5092499852180481,2037.0,2037.0,0.5,0.5,1000.0,1000.0,1.6417334079742432,0.5,0.5,1000.0,1000.0
27,0.5177500247955322,0.51656174659729,1929.0,1929.0,0.6928896307945251,9.999999e-06,0.5177500247955322,0.5177500247955322,2071.0,2071.0,0.5,0.5,1000.0,1000.0,1.6579170227050781,0.5,0.5,1000.0,1000.0
28,0.4972499907016754,0.4976264238357544,2011.0,2011.0,0.6933650374412537,9.999999e-06,0.4972499907016754,0.4972499907016754,1989.0,1989.0,0.5,0.5,1000.0,1000.0,1.8313968181610107,0.5,0.5,1000.0,1000.0
29,0.4959999918937683,0.49676743149757385,2016.0,2016.0,0.6933372020721436,9.999999e-06,0.4959999918937683,0.4959999918937683,1984.0,1984.0,0.5,0.5,1000.0,1000.0,1.1681007146835327,0.5,0.5,1000.0,1000.0
30,0.49950000643730164,0.5007215738296509,2002.0,2002.0,0.6933106184005737,1e-06,0.49950000643730164,0.49950000643730164,1998.0,1998.0,0.5,0.5,1000.0,1000.0,1.3407903909683228,0.5,0.5,1000.0,1000.0
31,0.48524999618530273,0.478196382522583,2059.0,2059.0,0.6938523054122925,1e-06,0.48524999618530273,0.48524999618530273,1941.0,1941.0,0.5,0.5,1000.0,1000.0,0.7040787935256958,0.5,0.5,1000.0,1000.0
32,0.48899999260902405,0.4870772063732147,2044.0,2044.0,0.6936023235321045,1e-06,0.48899999260902405,0.48899999260902405,1956.0,1956.0,0.5,0.5,1000.0,1000.0,1.8863918781280518,0.5,0.5,1000.0,1000.0
33,0.5027499794960022,0.5067213773727417,1989.0,1989.0,0.6929940581321716,1e-06,0.5027499794960022,0.5027499794960022,2011.0,2011.0,0.5,0.5,1000.0,1000.0,1.8889727592468262,0.5,0.5,1000.0,1000.0
34,0.4945000112056732,0.5015736222267151,2022.0,2022.0,0.6931294202804565,1e-06,0.4945000112056732,0.4945000112056732,1978.0,1978.0,0.5,0.5,1000.0,1000.0,1.8065721988677979,0.5,0.5,1000.0,1000.0
35,0.512499988079071,0.5099306106567383,1950.0,1950.0,0.6929575800895691,1e-06,0.512499988079071,0.512499988079071,2050.0,2050.0,0.5,0.5,1000.0,1000.0,1.8161371946334839,0.5,0.5,1000.0,1000.0
36,0.5070000290870667,0.5101161599159241,1972.0,1972.0,0.6930466890335083,1e-06,0.5070000290870667,0.5070000290870667,2028.0,2028.0,0.5,0.5,1000.0,1000.0,1.6255306005477905,0.5,0.5,1000.0,1000.0
37,0.5,0.4993690252304077,2000.0,2000.0,0.693265974521637,1e-06,0.5,0.5,2000.0,2000.0,0.5,0.5,1000.0,1000.0,1.7105222940444946,0.5,0.5,1000.0,1000.0
38,0.5074999928474426,0.49791449308395386,1970.0,1970.0,0.6932939887046814,1e-06,0.5074999928474426,0.5074999928474426,2030.0,2030.0,0.5,0.5,1000.0,1000.0,1.5246342420578003,0.5,0.5,1000.0,1000.0
39,0.5044999718666077,0.505808413028717,1982.0,1982.0,0.6931710243225098,1e-06,0.5044999718666077,0.5044999718666077,2018.0,2018.0,0.5,0.5,1000.0,1000.0,1.487992286682129,0.5,0.5,1000.0,1000.0
40,0.5024999976158142,0.5061050057411194,1990.0,1990.0,0.6930770874023438,1e-06,0.5024999976158142,0.5024999976158142,2010.0,2010.0,0.5,0.5,1000.0,1000.0,1.3950750827789307,0.5,0.5,1000.0,1000.0
41,0.5130000114440918,0.5051988363265991,1948.0,1948.0,0.6930926442146301,1e-06,0.5130000114440918,0.5130000114440918,2052.0,2052.0,0.5,0.5,1000.0,1000.0,1.885880708694458,0.5,0.5,1000.0,1000.0
42,0.4925000071525574,0.49419960379600525,2030.0,2030.0,0.6933541893959045,1e-06,0.4925000071525574,0.4925000071525574,1970.0,1970.0,0.5,0.5,1000.0,1000.0,1.4890867471694946,0.5,0.5,1000.0,1000.0
43,0.5057500004768372,0.49051544070243835,1977.0,1977.0,0.6935336589813232,1e-06,0.5057500004768372,0.5057500004768372,2023.0,2023.0,0.5,0.5,1000.0,1000.0,1.810672640800476,0.5,0.5,1000.0,1000.0
44,0.49524998664855957,0.4958724081516266,2019.0,2019.0,0.6934236884117126,1e-06,0.49524998664855957,0.49524998664855957,1981.0,1981.0,0.5,0.5,1000.0,1000.0,0.7694119215011597,0.5,0.5,1000.0,1000.0
45,0.5005000233650208,0.49682825803756714,1998.0,1998.0,0.6932784914970398,1e-06,0.5005000233650208,0.5005000233650208,2002.0,2002.0,0.5,0.5,1000.0,1000.0,1.4482301473617554,0.5,0.5,1000.0,1000.0
46,0.5015000104904175,0.49680668115615845,1994.0,1994.0,0.6932239532470703,1e-06,0.5015000104904175,0.5015000104904175,2006.0,2006.0,0.5,0.5,1000.0,1000.0,0.7069344520568848,0.5,0.5,1000.0,1000.0
47,0.5024999976158142,0.5080357193946838,1990.0,1990.0,0.6929594874382019,1e-06,0.5024999976158142,0.5024999976158142,2010.0,2010.0,0.5,0.5,1000.0,1000.0,1.8849513530731201,0.5,0.5,1000.0,1000.0
48,0.492249995470047,0.49510958790779114,2031.0,2031.0,0.6933230757713318,1e-06,0.492249995470047,0.492249995470047,1969.0,1969.0,0.5,0.5,1000.0,1000.0,1.1578737497329712,0.5,0.5,1000.0,1000.0
49,0.49924999475479126,0.5042487978935242,2003.0,2003.0,0.693156361579895,1e-06,0.49924999475479126,0.49924999475479126,1997.0,1997.0,0.5,0.5,1000.0,1000.0,1.9216502904891968,0.5,0.5,1000.0,1000.0
50,0.5019999742507935,0.503749668598175,1992.0,1992.0,0.6931081414222717,1e-06,0.5019999742507935,0.5019999742507935,2008.0,2008.0,0.5,0.5,1000.0,1000.0,2.3125569820404053,0.5,0.5,1000.0,1000.0
51,0.5034999847412109,0.5070394277572632,1986.0,1985.0,0.6930680274963379,1e-06,0.5036259293556213,0.5034999847412109,2015.0,2014.0,0.5,0.5,1000.0,1000.0,1.3827183246612549,0.5,0.5,1000.0,1000.0
52,0.4925000071525574,0.49161824584007263,2030.0,2030.0,0.6933662295341492,1e-06,0.4925000071525574,0.4925000071525574,1970.0,1970.0,0.5,0.5,1000.0,1000.0,1.195707082748413,0.5,0.5,1000.0,1000.0
53,0.503250002861023,0.5018360018730164,1987.0,1987.0,0.6931905746459961,1e-06,0.503250002861023,0.503250002861023,2013.0,2013.0,0.5,0.5,1000.0,1000.0,0.8481913805007935,0.5,0.5,1000.0,1000.0
54,0.49125000834465027,0.4986437261104584,2035.0,2035.0,0.6932203769683838,1e-06,0.49125000834465027,0.49125000834465027,1965.0,1965.0,0.5,0.5,1000.0,1000.0,0.8768051266670227,0.5,0.5,1000.0,1000.0
0,0.5102499723434448,0.5177192687988281,1959.0,1959.0,0.7628988027572632,0.01,0.5102499723434448,0.5102499723434448,2041.0,2041.0,0.5009999871253967,0.5121257305145264,998.0,998.0,0.765897810459137,0.5009999871253967,0.5009999871253967,1002.0,1002.0
1,0.5082499980926514,0.518302321434021,1967.0,1967.0,0.6982940435409546,0.01,0.5082499980926514,0.5082499980926514,2033.0,2033.0,0.5019999742507935,0.5069001317024231,996.0,996.0,0.7027088403701782,0.5019999742507935,0.5019999742507935,1004.0,1004.0
2,0.5262500047683716,0.5332613587379456,1895.0,1895.0,0.6939460635185242,0.01,0.5262500047683716,0.5262500047683716,2105.0,2105.0,0.5,0.5342872738838196,1000.0,1000.0,0.7013044357299805,0.5,0.5,1000.0,1000.0
3,0.49775001406669617,0.5069177746772766,2009.0,2009.0,0.6950436234474182,0.01,0.49775001406669617,0.49775001406669617,1991.0,1991.0,0.5019999742507935,0.5395187139511108,996.0,996.0,0.6958509087562561,0.5019999742507935,0.5019999742507935,1004.0,1004.0
4,0.5350000262260437,0.5423515439033508,1860.0,1860.0,0.6918741464614868,0.01,0.5350000262260437,0.5350000262260437,2140.0,2140.0,0.5,0.48911821842193604,1000.0,1000.0,0.7224262952804565,0.5,0.5,1000.0,1000.0
5,0.5212500095367432,0.5159300565719604,1915.0,1915.0,0.6952806711196899,0.01,0.5212500095367432,0.5212500095367432,2085.0,2085.0,0.5,0.49704504013061523,1000.0,1000.0,0.7062118053436279,0.5,0.5,1000.0,1000.0
6,0.5012500286102295,0.5107312798500061,1995.0,1995.0,0.6955265402793884,0.01,0.5012500286102295,0.5012500286102295,2005.0,2005.0,0.5404999852180481,0.5419546365737915,919.0,919.0,0.6915343999862671,0.5404999852180481,0.5404999852180481,1081.0,1081.0
7,0.515500009059906,0.5232174396514893,1938.0,1938.0,0.6947468519210815,0.01,0.515500009059906,0.515500009059906,2062.0,2062.0,0.503000020980835,0.5072299838066101,994.0,994.0,0.698554277420044,0.503000020980835,0.503000020980835,1006.0,1006.0
8,0.4950000047683716,0.5014787912368774,2020.0,2020.0,0.6959182620048523,0.01,0.4950000047683716,0.4950000047683716,1980.0,1980.0,0.5,0.5012499690055847,1000.0,1000.0,0.69850754737854,0.5,0.5,1000.0,1000.0
9,0.5022500157356262,0.5049319863319397,1991.0,1991.0,0.6960778832435608,0.01,0.5022500157356262,0.5022500157356262,2009.0,2009.0,0.5,0.5064849853515625,1000.0,1000.0,0.699669361114502,0.5,0.5,1000.0,1000.0
10,0.48500001430511475,0.4807068705558777,2060.0,2060.0,0.697770893573761,0.01,0.48500001430511475,0.48500001430511475,1940.0,1940.0,0.5,0.5,1000.0,1000.0,0.6971273422241211,0.5,0.5,1000.0,1000.0
11,0.5005000233650208,0.49420323967933655,1998.0,1998.0,0.6966925859451294,0.01,0.5005000233650208,0.5005000233650208,2002.0,2002.0,0.5,0.5043998956680298,1000.0,1000.0,0.693135678768158,0.5,0.5,1000.0,1000.0
12,0.5007500052452087,0.49671199917793274,1997.0,1997.0,0.6936051845550537,0.0009999999,0.5007500052452087,0.5007500052452087,2003.0,2003.0,0.5,0.5,1000.0,1000.0,0.6931394934654236,0.5,0.5,1000.0,1000.0
13,0.5092499852180481,0.516149640083313,1963.0,1963.0,0.69277423620224,0.0009999999,0.5092499852180481,0.5092499852180481,2037.0,2037.0,0.5,0.5024999976158142,1000.0,1000.0,0.6933014392852783,0.5,0.5,1000.0,1000.0
14,0.4872500002384186,0.4891395568847656,2051.0,2051.0,0.6937938928604126,0.0009999999,0.4872500002384186,0.4872500002384186,1949.0,1949.0,0.5,0.5,1000.0,1000.0,0.69313645362854,0.5,0.5,1000.0,1000.0
15,0.515999972820282,0.5097952485084534,1936.0,1936.0,0.6929538249969482,0.0009999999,0.515999972820282,0.515999972820282,2064.0,2064.0,0.5044999718666077,0.5037593841552734,991.0,991.0,0.6931084990501404,0.5044999718666077,0.5044999718666077,1009.0,1009.0
16,0.5095000267028809,0.5063211917877197,1962.0,1962.0,0.6930973529815674,0.0009999999,0.5095000267028809,0.5095000267028809,2038.0,2038.0,0.5049999952316284,0.5047571659088135,990.0,990.0,0.6930999159812927,0.5049999952316284,0.5049999952316284,1010.0,1010.0
17,0.5120000243186951,0.5165311098098755,1952.0,1952.0,0.6927353739738464,9.999999e-05,0.5120000243186951,0.5120000243186951,2048.0,2048.0,0.5044999718666077,0.5050100088119507,991.0,991.0,0.6930937767028809,0.5044999718666077,0.5044999718666077,1009.0,1009.0
18,0.512499988079071,0.5181354880332947,1950.0,1950.0,0.6927946209907532,9.999999e-05,0.512499988079071,0.512499988079071,2050.0,2050.0,0.5055000185966492,0.5070279836654663,989.0,989.0,0.6930709481239319,0.5055000185966492,0.5055000185966492,1011.0,1011.0
19,0.4959999918937683,0.495663583278656,2016.0,2016.0,0.6933015584945679,9.999999e-05,0.4959999918937683,0.4959999918937683,1984.0,1984.0,0.5059999823570251,0.5065343976020813,988.0,988.0,0.6930553913116455,0.5059999823570251,0.5059999823570251,1012.0,1012.0
20,0.5074999928474426,0.5074426531791687,1970.0,1970.0,0.6930392980575562,9.999999e-05,0.5074999928474426,0.5074999928474426,2030.0,2030.0,0.5059999823570251,0.5070255994796753,988.0,988.0,0.6930425763130188,0.5059999823570251,0.5059999823570251,1012.0,1012.0
21,0.503250002861023,0.5034883618354797,1987.0,1987.0,0.6931117177009583,9.999999e-05,0.503250002861023,0.503250002861023,2013.0,2013.0,0.5055000185966492,0.5043820738792419,989.0,989.0,0.69303959608078,0.5055000185966492,0.5055000185966492,1011.0,1011.0
22,0.49900001287460327,0.5048667192459106,2004.0,2004.0,0.6931686401367188,9.999999e-06,0.49900001287460327,0.49900001287460327,1996.0,1996.0,0.5044999718666077,0.5048887729644775,991.0,991.0,0.6930381655693054,0.5044999718666077,0.5044999718666077,1009.0,1009.0
23,0.5082499980926514,0.5102899074554443,1967.0,1967.0,0.6929519176483154,9.999999e-06,0.5082499980926514,0.5082499980926514,2033.0,2033.0,0.5055000185966492,0.5048750042915344,989.0,989.0,0.6930347084999084,0.5055000185966492,0.5055000185966492,1011.0,1011.0
24,0.5080000162124634,0.5113281011581421,1968.0,1968.0,0.6928835511207581,9.999999e-06,0.5080000162124634,0.5080000162124634,2032.0,2032.0,0.5049999952316284,0.5044001340866089,990.0,990.0,0.6930387020111084,0.5049999952316284,0.5049999952316284,1010.0,1010.0
25,0.5122500061988831,0.5153718590736389,1951.0,1951.0,0.6927745938301086,9.999999e-06,0.5122500061988831,0.5122500061988831,2049.0,2049.0,0.5044999718666077,0.5044138431549072,991.0,991.0,0.6930359601974487,0.5044999718666077,0.5044999718666077,1009.0,1009.0
26,0.5005000233650208,0.5110388398170471,1998.0,1998.0,0.6928687691688538,9.999999e-06,0.5005000233650208,0.5005000233650208,2002.0,2002.0,0.5049999952316284,0.5048750042915344,990.0,990.0,0.6930326819419861,0.5049999952316284,0.5049999952316284,1010.0,1010.0
27,0.4937500059604645,0.5025565028190613,2025.0,2025.0,0.6931943297386169,1e-06,0.4937500059604645,0.4937500059604645,1975.0,1975.0,0.5049999952316284,0.5053610801696777,990.0,990.0,0.6930277943611145,0.5049999952316284,0.5049999952316284,1010.0,1010.0
28,0.5087500214576721,0.5111611485481262,1965.0,1965.0,0.6929683685302734,1e-06,0.5087500214576721,0.5087500214576721,2035.0,2035.0,0.5059999823570251,0.5048865079879761,988.0,988.0,0.6930238008499146,0.5059999823570251,0.5059999823570251,1012.0,1012.0
29,0.5072500109672546,0.5126827955245972,1971.0,1971.0,0.6928184032440186,1e-06,0.5072500109672546,0.5072500109672546,2029.0,2029.0,0.5040000081062317,0.5044138431549072,992.0,992.0,0.6930351853370667,0.5040000081062317,0.5040000081062317,1008.0,1008.0
30,0.5067499876022339,0.5018901228904724,1973.0,1973.0,0.6932370662689209,1e-06,0.5067499876022339,0.5067499876022339,2027.0,2027.0,0.5055000185966492,0.5039120316505432,989.0,989.0,0.6930303573608398,0.5055000185966492,0.5055000185966492,1011.0,1011.0
31,0.5105000138282776,0.5076546669006348,1958.0,1958.0,0.6929335594177246,1e-06,0.5105000138282776,0.5105000138282776,2042.0,2042.0,0.5055000185966492,0.5048725008964539,989.0,989.0,0.6930252909660339,0.5055000185966492,0.5055000185966492,1011.0,1011.0
32,0.515749990940094,0.5185251832008362,1937.0,1937.0,0.6927046179771423,1e-06,0.515749990940094,0.515749990940094,2063.0,2063.0,0.5049999952316284,0.5053583383560181,990.0,990.0,0.6930273771286011,0.5049999952316284,0.5049999952316284,1010.0,1010.0
33,0.5130000114440918,0.5141879320144653,1948.0,1948.0,0.6928240060806274,1e-06,0.5130000114440918,0.5130000114440918,2052.0,2052.0,0.5049999952316284,0.5053610801696777,990.0,990.0,0.6930276155471802,0.5049999952316284,0.5049999952316284,1010.0,1010.0
34,0.5095000267028809,0.5195775032043457,1962.0,1962.0,0.6926181316375732,1e-06,0.5095000267028809,0.5095000267028809,2038.0,2038.0,0.5049999952316284,0.5048867464065552,990.0,990.0,0.6930275559425354,0.5049999952316284,0.5049999952316284,1010.0,1010.0
35,0.5052499771118164,0.5077965259552002,1979.0,1979.0,0.693028450012207,1e-06,0.5052499771118164,0.5052499771118164,2021.0,2021.0,0.5049999952316284,0.5044138431549072,990.0,990.0,0.6930363774299622,0.5049999952316284,0.5049999952316284,1010.0,1010.0
36,0.49674999713897705,0.5035067200660706,2013.0,2013.0,0.6930617094039917,1e-06,0.49674999713897705,0.49674999713897705,1987.0,1987.0,0.5055000185966492,0.5043864250183105,989.0,989.0,0.6930318474769592,0.5055000185966492,0.5055000185966492,1011.0,1011.0
37,0.5037500262260437,0.505339503288269,1985.0,1985.0,0.6929771304130554,1e-06,0.5037500262260437,0.5037500262260437,2015.0,2015.0,0.5049999952316284,0.504400372505188,990.0,990.0,0.6930368542671204,0.5049999952316284,0.5049999952316284,1010.0,1010.0
38,0.5007500052452087,0.5030961632728577,1997.0,1997.0,0.6931868195533752,1e-06,0.5007500052452087,0.5007500052452087,2003.0,2003.0,0.5049999952316284,0.5048724412918091,990.0,990.0,0.6930270195007324,0.5049999952316284,0.5049999952316284,1010.0,1010.0
39,0.4975000023841858,0.5030309557914734,2010.0,2010.0,0.6930718421936035,1e-06,0.4975000023841858,0.4975000023841858,1990.0,1990.0,0.5049999952316284,0.5053348541259766,990.0,990.0,0.6930287480354309,0.5049999952316284,0.5049999952316284,1010.0,1010.0
40,0.49900001287460327,0.5088319778442383,2004.0,2004.0,0.693061888217926,1e-06,0.49900001287460327,0.49900001287460327,1996.0,1996.0,0.5059999823570251,0.5053480863571167,988.0,988.0,0.6930140256881714,0.5059999823570251,0.5059999823570251,1012.0,1012.0
41,0.49549999833106995,0.5007543563842773,2018.0,2018.0,0.6933210492134094,1e-06,0.49549999833106995,0.49549999833106995,1982.0,1982.0,0.5049999952316284,0.5048750042915344,990.0,990.0,0.6930344104766846,0.5049999952316284,0.5049999952316284,1010.0,1010.0
42,0.5062500238418579,0.5064440965652466,1975.0,1975.0,0.693101704120636,1e-06,0.5062500238418579,0.5062500238418579,2025.0,2025.0,0.5055000185966492,0.5043864250183105,989.0,989.0,0.6930326223373413,0.5055000185966492,0.5055000185966492,1011.0,1011.0
43,0.5117499828338623,0.516693115234375,1953.0,1953.0,0.6924813389778137,1e-06,0.5117499828338623,0.5117499828338623,2047.0,2047.0,0.5049999952316284,0.5053195953369141,990.0,990.0,0.6930273175239563,0.5049999952316284,0.5049999952316284,1010.0,1010.0
44,0.4975000023841858,0.5032272338867188,2010.0,2010.0,0.6931123733520508,1e-06,0.4975000023841858,0.4975000023841858,1990.0,1990.0,0.5055000185966492,0.5048867464065552,989.0,989.0,0.6930279731750488,0.5055000185966492,0.5055000185966492,1011.0,1011.0
45,0.518750011920929,0.5202681422233582,1925.0,1925.0,0.6927996873855591,1e-06,0.518750011920929,0.518750011920929,2075.0,2075.0,0.5055000185966492,0.504860520362854,989.0,989.0,0.6930342316627502,0.5055000185966492,0.5055000185966492,1011.0,1011.0
46,0.5112500190734863,0.5151466131210327,1955.0,1955.0,0.6929550766944885,1e-06,0.5112500190734863,0.5112500190734863,2045.0,2045.0,0.5049999952316284,0.5048724412918091,990.0,990.0,0.6930271983146667,0.5049999952316284,0.5049999952316284,1010.0,1010.0
47,0.49900001287460327,0.49707478284835815,2004.0,2004.0,0.693336546421051,1e-06,0.49900001287460327,0.49900001287460327,1996.0,1996.0,0.5049999952316284,0.5048724412918091,990.0,990.0,0.693027138710022,0.5049999952316284,0.5049999952316284,1010.0,1010.0
48,0.5017499923706055,0.5019784569740295,1993.0,1993.0,0.6931565403938293,1e-06,0.5017499923706055,0.5017499923706055,2007.0,2007.0,0.5055000185966492,0.5039116740226746,989.0,989.0,0.6930322647094727,0.5055000185966492,0.5055000185966492,1011.0,1011.0
49,0.5022500157356262,0.5041947960853577,1991.0,1991.0,0.6931958794593811,1e-06,0.5022500157356262,0.5022500157356262,2009.0,2009.0,0.5065000057220459,0.5048867464065552,987.0,987.0,0.6930207014083862,0.5065000057220459,0.5065000057220459,1013.0,1013.0
50,0.4937500059604645,0.4998447895050049,2025.0,2025.0,0.693259596824646,1e-06,0.4937500059604645,0.4937500059604645,1975.0,1975.0,0.5044999718666077,0.5048725008964539,991.0,991.0,0.6930248141288757,0.5044999718666077,0.5044999718666077,1009.0,1009.0
51,0.5162500143051147,0.5149543881416321,1935.0,1935.0,0.6928478479385376,1e-06,0.5162500143051147,0.5162500143051147,2065.0,2065.0,0.5049999952316284,0.5048725008964539,990.0,990.0,0.6930283904075623,0.5049999952316284,0.5049999952316284,1010.0,1010.0
52,0.4970000088214874,0.500633716583252,2012.0,2012.0,0.6932141184806824,1e-06,0.4970000088214874,0.4970000088214874,1988.0,1988.0,0.5055000185966492,0.5048699975013733,989.0,989.0,0.6930301189422607,0.5055000185966492,0.5055000185966492,1011.0,1011.0
